seneddCode,seneddName,primaryWpcCode,primaryWpcName,primaryShare,secondaryWpcCode,secondaryWpcName,secondaryShare,sampleSize,overlaps
9,"Afan Ogwr Rhondda",W07000081,"Aberafan Maesteg",0.5425,W07000107,"Rhondda and Ogmore",0.4387,800,"W07000081:0.542|W07000107:0.439"
3,"Fflint Wrecsam",W07000111,"Wrexham",0.5625,W07000082,"Alyn and Deeside",0.3912,800,"W07000111:0.563|W07000082:0.391"
1,"Bangor Conwy Môn",W07000083,"Bangor Aberconwy",0.6525,W07000112,"Ynys Môn",0.3125,800,"W07000083:0.652|W07000112:0.313"
11,"Blaenau Gwent Caerffili Rhymni",W07000084,"Blaenau Gwent and Rhymney",0.5613,W07000088,"Caerphilly",0.4387,800,"W07000084:0.561|W07000088:0.439"
8,"Brycheiniog Tawe Nedd",W07000085,"Brecon, Radnor and Cwm Tawe",0.9263,W07000103,"Neath and Swansea East",0.0737,800,"W07000085:0.926|W07000103:0.074"
15,"Caerdydd Ffynnon Taf",W07000090,"Cardiff North",0.5675,W07000089,"Cardiff East",0.3937,800,"W07000090:0.568|W07000089:0.394|W07000092:0.001"
14,"Caerdydd Penarth",W07000092,"Cardiff West",0.5062,W07000091,"Cardiff South and Penarth",0.4512,800,"W07000092:0.506|W07000091:0.451"
6,"Sir Gaerfyrddin",W07000087,"Caerfyrddin",0.8163,W07000098,"Llanelli",0.1563,800,"W07000087:0.816|W07000098:0.156"
5,"Ceredigion Penfro",W07000093,"Ceredigion Preseli",0.7238,W07000100,"Mid and South Pembrokeshire",0.2625,800,"W07000093:0.724|W07000100:0.263"
2,"Clwyd",W07000094,"Clwyd East",0.7488,W07000095,"Clwyd North",0.1938,800,"W07000094:0.749|W07000095:0.194"
4,"Gwynedd Maldwyn",W07000096,"Dwyfor Meirionnydd",0.5138,W07000102,"Montgomeryshire and Glyndwr",0.4738,800,"W07000096:0.514|W07000102:0.474"
7,"Gŵyr Abertawe",W07000097,"Gower",0.7850,W07000108,"Swansea West",0.1025,800,"W07000097:0.785|W07000108:0.102"
10,"Pontypridd Cynon Merthyr",W07000099,"Merthyr Tydfil and Aberdare",0.6462,W07000106,"Pontypridd",0.3538,800,"W07000099:0.646|W07000106:0.354"
12,"Sir Fynwy Torfaen",W07000101,"Monmouthshire",0.8350,W07000109,"Torfaen",0.1187,800,"W07000101:0.835|W07000109:0.119"
13,"Casnewydd Islwyn",W07000105,"Newport West and Islwyn",0.5138,W07000104,"Newport East",0.4025,800,"W07000105:0.514|W07000104:0.403"
16,"Pen-y-bont Bro Morgannwg",W07000110,"Vale of Glamorgan",0.6900,W07000086,"Bridgend",0.2850,800,"W07000110:0.690|W07000086:0.285"
