spcCode,spcName,primaryWpcCode,primaryWpcName,overlapShare,sampleSize,overlaps
S16000074,"Aberdeen Central",S14000061,"Aberdeen South",0.5820,500,"S14000061:0.582|S14000060:0.416"
S16000075,"Aberdeen Donside",S14000060,"Aberdeen North",0.9960,500,"S14000060:0.996|S14000061:0.002"
S16000076,"Aberdeen South and North Kincardine",S14000111,"West Aberdeenshire and Kincardine",0.5520,500,"S14000111:0.552|S14000061:0.448"
S16000077,"Aberdeenshire East",S14000091,"Gordon and Buchan",0.8240,500,"S14000091:0.824|S14000062:0.176"
S16000078,"Aberdeenshire West",S14000111,"West Aberdeenshire and Kincardine",0.7240,500,"S14000111:0.724|S14000091:0.276"
S16000079,"Airdrie and Shotts",S14000063,"Airdrie and Shotts",1.0000,500,"S14000063:1.000"
S16000080,"Almond Valley",S14000095,"Livingston",0.9640,500,"S14000095:0.964|S14000068:0.034|S14000081:0.002"
S16000081,"Angus North and Mearns",S14000065,"Angus and Perthshire Glens",0.6020,500,"S14000065:0.602|S14000111:0.396"
S16000082,"Angus South",S14000065,"Angus and Perthshire Glens",0.6920,500,"S14000065:0.692|S14000066:0.308"
S16000083,"Argyll and Bute",S14000067,"Argyll, Bute and South Lochaber",1.0000,500,"S14000067:1.000"
S16000084,"Ayr",S14000109,"Central Ayrshire",0.5360,500,"S14000109:0.536|S14000107:0.464"
S16000085,"Banffshire and Buchan Coast",S14000062,"Aberdeenshire North and Moray East",1.0000,500,"S14000062:1.000"
S16000086,"Caithness, Sutherland and Ross",S14000069,"Caithness, Sutherland and Easter Ross",0.8880,500,"S14000069:0.888|S14000094:0.112"
S16000087,"Carrick, Cumnock and Doon Valley",S14000107,"Ayr, Carrick and Cumnock",0.7440,500,"S14000107:0.744|S14000110:0.178|S14000109:0.078"
S16000088,"Clackmannanshire and Dunblane",S14000064,"Alloa and Grangemouth",0.3940,500,"S14000064:0.394|S14000105:0.360|S14000076:0.246"
S16000089,"Clydebank and Milngavie",S14000106,"West Dunbartonshire",0.5660,500,"S14000106:0.566|S14000097:0.430"
S16000090,"Clydesdale",S14000074,"Dumfriesshire, Clydesdale and Tweeddale",0.6500,500,"S14000074:0.650|S14000077:0.140|S14000092:0.106"
S16000092,"Cowdenbeath",S14000071,"Cowdenbeath and Kirkcaldy",0.5480,500,"S14000071:0.548|S14000090:0.368|S14000076:0.084"
S16000093,"Cumbernauld and Kilsyth",S14000072,"Cumbernauld and Kirkintilloch",1.0000,500,"S14000072:1.000"
S16000094,"Cunninghame North",S14000048,"North Ayrshire and Arran",1.0000,500,"S14000048:1.000"
S16000095,"Cunninghame South",S14000109,"Central Ayrshire",0.5700,500,"S14000109:0.570|S14000048:0.428|S14000110:0.002"
S16000096,"Dumbarton",S14000067,"Argyll, Bute and South Lochaber",0.7460,500,"S14000067:0.746|S14000106:0.248|S14000105:0.004"
S16000097,"Dumfriesshire",S14000074,"Dumfriesshire, Clydesdale and Tweeddale",0.8920,500,"S14000074:0.892|S14000073:0.108"
S16000098,"Dundee City East",S14000066,"Arbroath and Broughty Ferry",0.6640,500,"S14000066:0.664|S14000075:0.336"
S16000099,"Dundee City West",S14000075,"Dundee Central",0.9480,500,"S14000075:0.948|S14000066:0.050|S14000065:0.002"
S16000100,"Dunfermline",S14000076,"Dunfermline and Dollar",0.9840,500,"S14000076:0.984|S14000071:0.016"
S16000101,"East Kilbride",S14000077,"East Kilbride and Strathaven",0.9980,500,"S14000077:0.998|S14000104:0.002"
S16000102,"East Lothian",S14000096,"Lothian East",1.0000,500,"S14000096:1.000"
S16000103,"Eastwood",S14000021,"East Renfrewshire",1.0000,500,"S14000021:1.000"
S16000104,"Edinburgh Central",S14000082,"Edinburgh West",0.3380,500,"S14000082:0.338|S14000079:0.274|S14000078:0.184"
S16000105,"Edinburgh Eastern",S14000078,"Edinburgh East and Musselburgh",0.6340,500,"S14000078:0.634|S14000080:0.366"
S16000106,"Edinburgh Northern and Leith",S14000079,"Edinburgh North and Leith",0.9300,500,"S14000079:0.930|S14000078:0.070"
S16000107,"Edinburgh Pentlands",S14000081,"Edinburgh South West",0.7340,500,"S14000081:0.734|S14000082:0.212|S14000080:0.050"
S16000108,"Edinburgh Southern",S14000080,"Edinburgh South",0.7140,500,"S14000080:0.714|S14000081:0.268|S14000078:0.018"
S16000109,"Edinburgh Western",S14000082,"Edinburgh West",0.9660,500,"S14000082:0.966|S14000079:0.018|S14000081:0.014"
S16000110,"Na h-Eileanan an Iar",S14000027,"Na h-Eileanan an Iar",1.0000,500,"S14000027:1.000"
S16000111,"Ettrick, Roxburgh and Berwickshire",S14000108,"Berwickshire, Roxburgh and Selkirk",1.0000,500,"S14000108:1.000"
S16000112,"Falkirk East",S14000083,"Falkirk",0.5480,500,"S14000083:0.548|S14000064:0.318|S14000068:0.130"
S16000113,"Falkirk West",S14000083,"Falkirk",0.8240,500,"S14000083:0.824|S14000064:0.176"
S16000114,"Galloway and West Dumfries",S14000073,"Dumfries and Galloway",1.0000,500,"S14000073:1.000"
S16000115,"Glasgow Anniesland",S14000089,"Glasgow West",0.9620,500,"S14000089:0.962|S14000106:0.038"
S16000116,"Glasgow Cathcart",S14000087,"Glasgow South",1.0000,500,"S14000087:1.000"
S16000117,"Glasgow Kelvin",S14000085,"Glasgow North",0.6540,500,"S14000085:0.654|S14000089:0.214|S14000086:0.070"
S16000118,"Glasgow Maryhill and Springburn",S14000085,"Glasgow North",0.7520,500,"S14000085:0.752|S14000086:0.246|S14000089:0.002"
S16000119,"Glasgow Pollok",S14000088,"Glasgow South West",0.8640,500,"S14000088:0.864|S14000101:0.134|S14000087:0.002"
S16000121,"Glasgow Shettleston",S14000084,"Glasgow East",0.9420,500,"S14000084:0.942|S14000086:0.056|S14000070:0.002"
S16000122,"Glasgow Southside",S14000088,"Glasgow South West",0.5400,500,"S14000088:0.540|S14000084:0.258|S14000087:0.202"
S16000123,"Greenock and Inverclyde",S14000093,"Inverclyde and Renfrewshire West",1.0000,500,"S14000093:1.000"
S16000124,"Hamilton, Larkhall and Stonehouse",S14000092,"Hamilton and Clyde Valley",0.8840,500,"S14000092:0.884|S14000077:0.116"
S16000125,"Inverness and Nairn",S14000098,"Moray West, Nairn and Strathspey",0.6760,500,"S14000098:0.676|S14000094:0.324"
S16000126,"Kilmarnock and Irvine Valley",S14000110,"Kilmarnock and Loudoun",1.0000,500,"S14000110:1.000"
S16000127,"Kirkcaldy",S14000071,"Cowdenbeath and Kirkcaldy",0.7620,500,"S14000071:0.762|S14000090:0.238"
S16000128,"Linlithgow",S14000068,"Bathgate and Linlithgow",0.8320,500,"S14000068:0.832|S14000095:0.166|S14000063:0.002"
S16000129,"Mid Fife and Glenrothes",S14000090,"Glenrothes and Mid Fife",0.6420,500,"S14000090:0.642|S14000100:0.358"
S16000130,"Midlothian North and Musselburgh",S14000045,"Midlothian",0.8700,500,"S14000045:0.870|S14000096:0.070|S14000078:0.060"
S16000131,"Midlothian South, Tweeddale and Lauderdale",S14000074,"Dumfriesshire, Clydesdale and Tweeddale",0.5140,500,"S14000074:0.514|S14000108:0.356|S14000045:0.130"
S16000132,"Moray",S14000098,"Moray West, Nairn and Strathspey",0.9200,500,"S14000098:0.920|S14000062:0.080"
S16000133,"Motherwell and Wishaw",S14000099,"Motherwell, Wishaw and Carluke",0.7960,500,"S14000099:0.796|S14000063:0.202|S14000092:0.002"
