council,ward,wardCode,actualConservativeSeats,projectedConservativeSeats,projectedWinner,projectedSeatAllocation
"Buckinghamshire","Abbey","E05013120","2","0","Labour","{""Labour"":2,""Reform"":1}"
"Buckinghamshire","Aylesbury East","E05013123","2","0","Liberal Democrat","{""Liberal Democrat"":3}"
"Buckinghamshire","Beaconsfield","E05013129","1","0","IND","{""IND"":3}"
"Buckinghamshire","Hazlemere","E05013149","1","0","IND","{""IND"":3}"
"Buckinghamshire","Iver","E05013150","1","0","IND","{""IND"":3}"
"Buckinghamshire","Ivinghoe","E05013151","2","0","Reform","{""Reform"":3}"
"Buckinghamshire","Marlow","E05013153","2","0","Reform","{""Reform"":2,""Liberal Democrat"":1}"
"Buckinghamshire","Ridgeway East","E05013155","2","0","Liberal Democrat","{""Liberal Democrat"":3}"
"Buckinghamshire","Ridgeway West","E05013156","2","1","Liberal Democrat","{""Liberal Democrat"":2,""Conservative"":1}"
"Buckinghamshire","Terriers & Amersham Hill","E05013160","1","0","Liberal Democrat","{""Liberal Democrat"":3}"
"Cambridgeshire","Huntingdon North & Hartford","E58000070","1","0","Reform","{""Reform"":1}"
"Cambridgeshire","The Hemingfords & Fenstanton","E58000099","1","0","Reform","{""Reform"":1}"
"Cambridgeshire","Wisbech East","E58000105","1","0","Reform","{""Reform"":1}"
"Cambridgeshire","Wisbech West","E58000106","1","0","Reform","{""Reform"":1}"
"Cornwall","Liskeard South & Dobwalls","E05013303","1","0","Reform","{""Reform"":1}"
"Cornwall","Probus & St Erme","E05013850","1","0","Green","{""Green"":1}"
"Cornwall","Redruth Central, Carharrack & St Day","E05013851","1","0","Reform","{""Reform"":1}"
"Cornwall","St Austell Bethel & Holmbush","E05013853","1","0","Reform","{""Reform"":1}"
"Cornwall","St Blazey","E05013336","1","0","Reform","{""Reform"":1}"
"Derbyshire","Bakewell","E58000197","1","0","Labour","{""Labour"":1}"
"Derbyshire","Breadsall & West Hallam","E58000204","1","0","Reform","{""Reform"":1}"
"Derbyshire","Chapel & Hope Valley","E58000209","1","0","Reform","{""Reform"":1}"
"Derbyshire","Derwent Valley","E58000212","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Derbyshire","Sandiacre","E58000237","1","0","Reform","{""Reform"":1}"
"Derbyshire","Sawley","E58000238","1","0","Reform","{""Reform"":1}"
"Devon","Ashburton & Buckfastleigh","E58000255","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Devon","Exmouth","E58000276","1","0","Reform","{""Reform"":2}"
"Devon","Northam","E58000290","1","0","Reform","{""Reform"":1}"
"Devon","Tavistock","E58000301","1","0","Reform","{""Reform"":1}"
"Devon","Wearside & Topsham","E58000307","1","0","Reform","{""Reform"":1}"
"Doncaster","Bessacarr","E05010732","1","0","Reform","{""Reform"":3}"
"Doncaster","Finningley","E05010736","3","0","Reform","{""Reform"":3}"
"Doncaster","Sprotbrough","E05010743","1","0","Reform","{""Reform"":2}"
"Doncaster","Tickhill & Wadworth","E05010746","1","0","Reform","{""Reform"":2}"
"Gloucestershire","Barton & Tredworth","E58000475","1","0","Reform","{""Reform"":1}"
"Gloucestershire","Campden-Vale","E58000484","1","0","Reform","{""Reform"":1}"
"Gloucestershire","Fairford & Lechlade On Thames","E58000494","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Hertfordshire","Bishop's Stortford Rural","E58001776","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Bushey South","E58000614","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Hertfordshire","Cheshunt Central","E58000617","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Harpenden South West","E58000626","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Hertfordshire","Hemel Hempstead East","E58000631","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Hemel Hempstead North East","E58000632","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Hitchin Rural","E58000641","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Hoddesdon North","E58000643","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Hoddesdon South","E58000644","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Knebworth & Codicote","E58000646","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Potters Bar East","E58000654","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Potters Bar West & Shenley","E58000655","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Rickmansworth East & Oxhey Park","E58000656","1","0","Reform","{""Reform"":1}"
"Hertfordshire","Rickmansworth West","E58000657","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Hertfordshire","South Oxhey & Eastbury","E58000662","1","0","Labour","{""Labour"":1}"
"Hertfordshire","Waltham Cross","E58000671","1","0","Reform","{""Reform"":1}"
"Kent","Cranbrook","E58000693","1","0","Reform","{""Reform"":1}"
"Kent","Sevenoaks West","E58000733","1","0","Reform","{""Reform"":1}"
"Lancashire","Euxton Buckshaw & Astley","E58000770","1","0","Labour","{""Labour"":1}"
"Lancashire","Lytham","E58000788","1","0","IND","{""IND"":1}"
"Lancashire","Pendle Hill","E58000799","1","0","Reform","{""Reform"":1}"
"Lancashire","St. Annes North","E58000824","1","0","Reform","{""Reform"":1}"
"Lancashire","St. Annes South","E58000825","1","0","Reform","{""Reform"":1}"
"Leicestershire","Birstall","E58000835","1","0","Reform","{""Reform"":1}"
"Leicestershire","Coalville North","E58000843","1","0","Reform","{""Reform"":1}"
"Leicestershire","Glenfields Kirby Muxloe & Leicester Forests","E58000852","1","0","Reform","{""Reform"":2}"
"Leicestershire","Loughborough South West","E58000861","1","0","Reform","{""Reform"":1}"
"Leicestershire","Lutterworth","E58000862","1","0","Reform","{""Reform"":1}"
"Leicestershire","Market Harborough West & Foxton","E58000866","1","0","Reform","{""Reform"":1}"
"Leicestershire","Melton Wolds","E58000870","1","0","Reform","{""Reform"":1}"
"Leicestershire","Syston Fosse","E58000881","1","0","Reform","{""Reform"":1}"
"Leicestershire","Syston Ridgeway","E58000882","1","0","Green","{""Green"":1}"
"Leicestershire","Thurmaston Ridgemere","E58000883","1","0","Reform","{""Reform"":1}"
"Lincolnshire","Folkingham Rural","E58000906","1","0","Reform","{""Reform"":1}"
"Lincolnshire","Grantham West","E58000914","1","0","Reform","{""Reform"":1}"
"Lincolnshire","Metheringham Rural","E58000928","1","0","Reform","{""Reform"":1}"
"Lincolnshire","Potterhanworth & Coleby","E58000932","1","0","Reform","{""Reform"":1}"
"Lincolnshire","Spalding South","E58000943","1","0","Reform","{""Reform"":1}"
"Lincolnshire","Stamford East","E58000946","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Lincolnshire","Waddington And Hykeham East","E58000951","1","0","Reform","{""Reform"":1}"
"Lincolnshire","Washingborough","E58000953","1","0","Reform","{""Reform"":1}"
"North Northamptonshire","Desborough","E05013219","3","0","Reform","{""Reform"":3}"
"North Northamptonshire","Earls Barton","E05013220","2","0","Reform","{""Reform"":3}"
"North Northamptonshire","Higham Ferrers","E05013223","1","0","Reform","{""Reform"":3}"
"North Northamptonshire","Irchester","E05013224","2","0","Reform","{""Reform"":3}"
"North Northamptonshire","Oundle","E05013231","2","0","Reform","{""Reform"":3}"
"North Northamptonshire","Raunds","E05013232","1","0","Reform","{""Reform"":3}"
"North Northamptonshire","Rushden South","E05013235","1","0","Reform","{""Reform"":3}"
"North Northamptonshire","Thrapston","E05013236","2","0","Reform","{""Reform"":3}"
"Northumberland","Cramlington Eastfield","E05009112","1","0","Reform","{""Reform"":1}"
"Northumberland","Cramlington South East","E05009114","1","0","Reform","{""Reform"":1}"
"Northumberland","Cramlington Village","E05009115","1","0","Reform","{""Reform"":1}"
"Northumberland","Longhoughton","E05009132","1","0","Reform","{""Reform"":1}"
"Northumberland","Morpeth Kirkhill","E05009134","1","0","Reform","{""Reform"":1}"
"Northumberland","Morpeth North","E05009135","1","0","Reform","{""Reform"":1}"
"Northumberland","Morpeth Stobhill","E05009136","1","0","Reform","{""Reform"":1}"
"Northumberland","Prudhoe South","E05009147","1","0","Labour","{""Labour"":1}"
"Northumberland","Shilbottle","E05009151","1","0","Reform","{""Reform"":1}"
"Northumberland","South Blyth","E05009153","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Balderton","E58001169","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Bingham East","E58001171","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Bingham West","E58001172","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Carlton East","E58001177","1","0","Labour","{""Labour"":1}"
"Nottinghamshire","Collingham","E58001179","1","0","IND","{""IND"":1}"
"Nottinghamshire","Farndon & Trent","E58001182","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Leake & Ruddington","E58001190","1","0","Reform","{""Reform"":2}"
"Nottinghamshire","Newark East","E58001197","1","0","Green","{""Green"":1}"
"Nottinghamshire","Newstead","E58001199","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Radcliffe On Trent","E58001202","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Retford East","E58001203","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","Southwell","E58001207","1","0","Reform","{""Reform"":1}"
"Nottinghamshire","West Bridgford South","E58001216","1","0","Labour","{""Labour"":1}"
"Nottinghamshire","West Bridgford West","E58001217","1","0","Labour","{""Labour"":1}"
"Oxfordshire","Banbury Grimsbury & Castle","E58001226","1","0","Labour","{""Labour"":1}"
"Oxfordshire","Didcot West","E58001736","1","0","Labour","{""Labour"":1}"
"Oxfordshire","Witney North & East","E58001277","1","0","Reform","{""Reform"":1}"
"Shropshire","Much Wenlock","E05008174","1","0","Reform","{""Reform"":1}"
"Shropshire","Severn Valley","E05008186","1","0","Reform","{""Reform"":1}"
"Staffordshire","Burton Tower","E58001347","1","0","Reform","{""Reform"":1}"
"Staffordshire","Dove","E58001358","1","0","Reform","{""Reform"":1}"
"Staffordshire","Lichfield City South","E58001370","1","0","Reform","{""Reform"":1}"
"Warwickshire","Admirals & Cawston","E58001542","1","0","Reform","{""Reform"":1}"
"Warwickshire","Fosse","E58001567","1","0","Reform","{""Reform"":1}"
"Warwickshire","Hillmorton","E58001570","1","0","Reform","{""Reform"":1}"
"Warwickshire","Shipston On Stour","E58001585","1","0","Green","{""Green"":1}"
"West Northamptonshire","Brackley","E05013242","1","0","Reform","{""Reform"":3}"
"West Northamptonshire","Long Buckby","E05013259","2","0","Reform","{""Reform"":3}"
"West Northamptonshire","Middleton Cheney","E05013260","2","0","Reform","{""Reform"":2,""Liberal Democrat"":1}"
"West Northamptonshire","Woodford & Weedon","E05013269","1","0","Reform","{""Reform"":3}"
"Wiltshire","Amesbury West","E05013402","1","0","Reform","{""Reform"":1}"
"Wiltshire","Brinkworth","E05013408","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Bromham, Rowde & Roundway","E05013409","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Devizes South","E05013431","1","0","Reform","{""Reform"":1}"
"Wiltshire","Old Sarum & Lower Bourne Valley","E05013453","1","0","Reform","{""Reform"":1}"
"Wiltshire","Pewsey","E05013834","1","0","Reform","{""Reform"":1}"
"Wiltshire","Salisbury Harnham East","E05013464","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Salisbury St PaulÃ¦s","E05013469","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Till Valley","E05013475","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Urchfont & Bishops Cannings","E05013484","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Warminster Broadway","E05013485","1","0","Reform","{""Reform"":1}"
"Wiltshire","Warminster East","E05013486","1","0","IND","{""IND"":1}"
"Wiltshire","Warminster North & Rural","E05013487","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Wilton","E05013492","1","0","Liberal Democrat","{""Liberal Democrat"":1}"
"Wiltshire","Winterslow & Upper Bourne Valley","E05013494","1","0","IND","{""IND"":1}"
"Worcestershire","Bewdley","E58001674","1","0","Reform","{""Reform"":1}"
"Worcestershire","Bowbrook","E58001675","1","0","Reform","{""Reform"":1}"
"Worcestershire","Chaddesley","E58001682","1","0","Reform","{""Reform"":1}"
"Worcestershire","Clent Hills","E58001684","1","0","IND","{""IND"":1}"
"Worcestershire","Evesham North West","E58001689","1","0","Reform","{""Reform"":1}"
"Worcestershire","Hallow","E58001692","1","0","IND","{""IND"":1}"
"Worcestershire","Malvern Link","E58001697","1","0","Reform","{""Reform"":1}"
"Worcestershire","Nunnery","E58001699","1","0","Labour","{""Labour"":1}"
