council,ward_code,ward_name,projected_labour_seats,projected_top,actual_winners
"Buckinghamshire","E05013120","Abbey","2","Labour 28.5 | Reform 26.2 | Conservative 16.0","Conservative 4"
"Buckinghamshire","E05013131","Booker/ Cressex & Castlefield","3","Labour 40.4 | Reform 31.9 | WYC IND 9.6","No actual row"
"Buckinghamshire","E05013133","Buckingham West","3","Labour 35.1 | Reform 28.5 | Liberal Democrat 15.3","No actual row"
"Cambridgeshire","E58000050","Abbey","1","Labour 37.2 | Green 33.7 | Reform 18.7","Green 2"
"Cambridgeshire","E58000057","Castle","1","Labour 36.2 | Liberal Democrat 28.6 | Green 19.0","Liberal Democrat 2"
"Cambridgeshire","E58000060","Chesterton","1","Labour 35.5 | Liberal Democrat 31.3 | Reform 17.5","Liberal Democrat 2"
"Cambridgeshire","E58000078","Market","1","Labour 34.2 | Liberal Democrat 28.2 | Green 23.4","Liberal Democrat 2"
"Cambridgeshire","E58000086","Romsey","1","Labour 47.9 | Green 22.1 | Reform 16.3","Green 2"
"County Durham","E05009037","Benfieldside","1","Reform 35.0 | Labour 33.0 | DER IND 26.7","Reform 4"
"County Durham","E05009040","Blackhalls","2","Labour 50.0 | Reform 39.0 | NEP 11.0","No actual row"
"County Durham","E05009041","Brandon","1","Labour 32.9 | Green 32.5 | Reform 31.6","Green 4"
"County Durham","E05009042","Burnopfield & Dipton","1","Labour 35.0 | Reform 34.7 | IND 21.9","No actual row"
"County Durham","E05009050","Coundon","1","Labour 49.5 | Reform 40.0 | IND 6.5","No actual row"
"County Durham","E05009052","Craghead & South Moor","2","Labour 39.1 | Reform 32.8 | DER IND 27.1","Reform 4"
"County Durham","E05009054","Dawdon","2","Labour 37.2 | Reform 32.4 | SCP 30.0","No actual row"
"County Durham","E05009055","Deerness","3","Labour 40.3 | Reform 36.7 | Liberal Democrat 14.7","Reform 4"
"County Durham","E05009056","Delves Lane","1","Reform 38.2 | Labour 36.6 | Conservative 15.2","Reform 4"
"County Durham","E05009057","Deneside","1","Reform 35.4 | Labour 34.9 | SCP 29.7","No actual row"
"County Durham","E05009059","Easington","2","Labour 42.7 | Reform 36.2 | IND 12.8","No actual row"
"County Durham","E05009060","Elvet & Gilesgate","1","Liberal Democrat 28.7 | Labour 27.7 | Reform 24.0","No actual row"
"County Durham","E05009065","Horden","2","Labour 42.0 | Reform 34.2 | NEP 23.8","No actual row"
"County Durham","E05009069","Murton","2","Labour 47.2 | Reform 33.1 | IND 19.7","Reform 4"
"County Durham","E05009073","Pelton","3","Labour 44.2 | Reform 36.7 | IND 15.8","Reform 6"
"County Durham","E05009076","Sacriston","2","Labour 38.6 | Reform 36.2 | Green 22.9","No actual row"
"County Durham","E05009077","Seaham","1","Reform 37.7 | Labour 36.6 | SCP 23.9","Reform 4"
"County Durham","E05009079","Sherburn","2","Labour 55.3 | Reform 35.5 | Liberal Democrat 8.1","No actual row"
"County Durham","E05009083","Stanley","1","Labour 40.1 | Reform 38.1 | DER IND 14.9","Reform 4"
"County Durham","E05009086","Trimdon & Thornley","2","Labour 40.7 | Reform 38.3 | FBM 14.7","No actual row"
"County Durham","E05009089","West Auckland","1","Reform 36.9 | Labour 36.3 | IND 16.9","Reform 4"
"County Durham","E05009090","Willington & Hunwick","2","Labour 46.1 | Reform 35.5 | Conservative 18.4","Reform 4"
"County Durham","E05009091","Wingate","1","Labour 61.4 | Reform 37.5 | Green 0.6","No actual row"
"Derbyshire","E58000193","Alfreton & Somercotes","1","Reform 32.9 | Labour 31.2 | Conservative 22.1","Reform 2"
"Derbyshire","E58000197","Bakewell","1","Labour 39.5 | Reform 32.1 | Conservative 28.4","Conservative 2"
